date,vns_found,comments_found,comments_flagged,empty_pdfs,unparsable_pdfs,table_errors
2023-09-21,3,2.0,0.0,0.0,0.0,1.0
2023-09-20,5,5.0,0.0,0.0,0.0,0.0
2023-09-19,1,1.0,0.0,0.0,0.0,0.0
2023-09-18,0,,,,,
2023-09-17,0,,,,,
2023-09-16,0,,,,,
2023-09-15,0,,,,,
2023-09-14,2,2.0,0.0,0.0,0.0,0.0
2023-09-13,0,0.0,0.0,0.0,0.0,0.0
2023-09-12,3,3.0,0.0,0.0,0.0,0.0
2023-09-11,0,0.0,0.0,0.0,0.0,0.0
2023-09-10,0,0.0,0.0,0.0,0.0,0.0
2023-09-09,0,0.0,0.0,0.0,0.0,0.0
2023-09-08,3,3.0,0.0,0.0,0.0,0.0
2023-09-07,0,0.0,0.0,0.0,0.0,0.0
2023-09-06,0,0.0,0.0,0.0,0.0,0.0
2023-09-05,0,0.0,0.0,0.0,0.0,0.0
2023-09-04,0,0.0,0.0,0.0,0.0,0.0
2023-09-03,0,0.0,0.0,0.0,0.0,0.0
2023-09-02,1,1.0,0.0,0.0,0.0,0.0
2023-09-01,2,2.0,0.0,0.0,0.0,0.0
2023-08-31,3,3.0,0.0,0.0,0.0,0.0
2023-08-30,0,0.0,0.0,0.0,0.0,0.0
2023-08-29,1,1.0,0.0,0.0,0.0,0.0
2023-08-28,0,0.0,0.0,0.0,0.0,0.0
2023-08-27,0,0.0,0.0,0.0,0.0,0.0
2023-08-26,1,0.0,0.0,1.0,0.0,0.0
2023-08-25,0,0.0,0.0,0.0,0.0,0.0
2023-08-24,0,0.0,0.0,0.0,0.0,0.0
2023-08-23,2,2.0,0.0,0.0,0.0,0.0
2023-08-22,0,0.0,0.0,0.0,0.0,0.0
2023-08-21,0,0.0,0.0,0.0,0.0,0.0
2023-08-20,0,0.0,0.0,0.0,0.0,0.0
2023-08-19,0,0.0,0.0,0.0,0.0,0.0
2023-08-18,1,1.0,0.0,0.0,0.0,0.0
2023-08-17,1,1.0,0.0,0.0,0.0,0.0
2023-08-16,0,0.0,0.0,0.0,0.0,0.0
2023-08-15,1,1.0,0.0,0.0,0.0,0.0
2023-08-14,0,0.0,0.0,0.0,0.0,0.0
2023-08-13,0,0.0,0.0,0.0,0.0,0.0
2023-08-12,0,0.0,0.0,0.0,0.0,0.0
2023-08-10,2,2.0,0.0,0.0,0.0,0.0
2023-08-09,5,4.0,0.0,0.0,0.0,1.0
2023-08-02,4,4.0,0.0,0.0,0.0,0.0
2023-08-01,0,0.0,0.0,0.0,0.0,0.0
2023-07-31,1468,1290.0,63.0,16.0,3.0,165.0
2023-09-22,0,,,,,
