year,month,vns
2018,1,15
2018,2,15
2018,3,21
2018,4,21
2018,5,31
2018,6,32
2018,7,23
2018,8,36
2018,9,29
2018,10,33
2018,11,23
2018,12,19
2019,1,31
2019,2,28
2019,3,26
2019,4,19
2019,5,30
2019,6,29
2019,7,25
2019,8,16
2019,9,30
2019,10,31
2019,11,14
2019,12,14
2020,1,21
2020,2,16
2020,3,17
2020,4,12
2020,5,8
2020,6,21
2020,7,13
2020,8,23
2020,9,35
2020,10,19
2020,11,8
2020,12,19
2021,1,8
2021,2,12
2021,3,13
2021,4,11
2021,5,29
2021,6,26
2021,7,17
2021,8,25
2021,9,35
2021,10,25
2021,11,17
2021,12,12
2022,1,11
2022,2,9
2022,3,14
2022,4,16
2022,5,56
2022,6,32
2022,7,20
2022,8,38
2022,9,40
2022,10,31
2022,11,15
2022,12,15
2023,1,15
2023,2,12
2023,3,26
2023,4,18
2023,5,32
2023,6,21
2023,7,27
2023,8,19
2023,9,9
